ad_name,campaign_name,cost,purchases,conv_value
30/03/26 - Carrousel - Young Parent - KIDS - PERMANENT - #d - Multi Variantes - Packshot MoMa - Avec Prix - V1,ASUC-(ALL)-PERF-KIDS-INTER,5357.77,351,16998.59
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,5162.09,140,9586.11
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,4149.71,123,9844.74
08/06/26 - Image - Young Dynamic - SPORT - RUNNING - #HORIZON - Sand - Packshot Angle - Outdoor Adventure - Avec Prix - V1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,4099.16,174,12260.81
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,4055.42,125,9690.29
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #D - Frozen Blue - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,3892.5,135,9871.45
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #ROAD - Glossy Havane -  Unboxing - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-KIDS-INTER,3890.85,282,18913.59
18/03/26 - Image - Young Parent - KIDS - BONPOINT - Multi Modèles - Packshot Face - Avec Prix - V1,ASUC-(ALL)-PERF-KIDS-INTER,3709.16,257,16143.29
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #D - Frozen Blue - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,3002.68,92,5305.25
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,2908.89,172,9466.99
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,2873.98,232,11425.88
23/01/26 - Video Social Friendly - Partnership Ad - Young Dynamic - SPORT - MONTAGNE - #SNOW - White - Explorateur Mathieu Tordeur - Homme - Sans Prix - V1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,2863.8,269,16923.95
30/03/26 - Carrousel - Young Parent - KIDS - PERMANENT - #c - Multi Variantes - Packshot MoMa - Avec Prix - V1,ASUC-(ALL)-PERF-KIDS-INTER,2708.52,196,12177.82
02/06/26 - Video UGC - Partnership Ad - Young Parent - KIDS - PERMANENT - #ROAD - Multi Variantes - AnhWisl - Mixte - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-KIDS-INTER,2613.35,57,2999.95
15/05/26 - Video UGC - Young Dynamic - SUN - PERMANENT - Multi Modèles - Multi Variantes - Ces lunettes vont avec tout - Langue FR - Sans Prix - V1 - H3,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,2569.97,62,2852.88
18/03/26 - Image - Young Parent - KIDS - BONPOINT - Multi Modèles - Packshot Face - Avec Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,2550,150,6651.94
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,2503.24,138,6992.7
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-US-(US)-PERF-RTG,2472.44,88,8097.41
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,2437.84,62,6394.45
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,2372.39,53,3479.87
08/06/26 - Image - Young Dynamic - SPORT - RUNNING - #HORIZON - Sand - Packshot Angle - Outdoor Adventure - Avec Prix - V1,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,2357.08,131,7943.58
16/10/24 - Motion - Young Dynamic - SPORT - RUNNING - #HORIZON - Multi Variantes - Liquid - Sans Prix - V1,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,2267.28,158,9611.8
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Unboxing - Sans Prix - V2 - H1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,2211.32,37,3157.69
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,2166.27,85,6073.79
30/04/26 - Image - Young Parent - KIDS - PERMANENT - #d - Pastel Pink - Packshot Face USP - Sans Prix - V1,ASUC-(ALL)-PERF-KIDS-INTER,2106.02,144,7980.53
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,1976.76,81,3472.23
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Light Tortoise - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,1967.39,40,1792.33
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,1952.97,119,4905.48
21/05/26 - Carrousel - Young Dynamic - SPORT - PERMANENT - #FLASH - Multi Variantes - Packshot MoMa USP - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,1915.94,60,4451.61
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,1905.1,47,3793.29
Carrousel DAd - Young Dynamic - SUN - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,1860.45,121,7443.36
Carrousel DAd - Young Dynamic - SUN - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,1860.02,73,4046.61
15/12/25 - Carrousel - Young Dynamic - SPORT - MONTAGNE - GLACIER #G - Multi Variantes - Packshot Coté - Avec Prix - V1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,1855.73,161,11549.97
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #C - Cookie Dough - Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,1830.68,91,5252.06
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,1697.9,46,2559.8
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,1695.71,86,5910.19
12/05/26 - Video UGC - Partnership Ad - Young Dynamic - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - emilyescande - Lifestyle Tuilerie - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,1690.38,47,2551.68
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - Langue FR - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,1690.14,79,3731.73
25/05/26 - Video UGC - Partnership Ad - Young Dynamic - SUN - ALEGRIA - Multi Modèles - Multi Variantes - irenefdz - Lifestyle Tuilerie - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,1672.12,26,1069.07
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,1665.78,45,2514.19
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,1661.25,127,7606.01
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,1640.4,42,2369.16
15/05/26 - Video UGC - Young Dynamic - SUN - PERMANENT - Multi Modèles - Multi Variantes - Ces lunettes vont avec tout - Langue FR - Sans Prix - V1 - H3,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,1586.54,110,5398.29
01/07/26 - Video UGC - Young Dynamic - SUN - CROSSROADS - Multi Variantes - Multi Modèles - UGC in Store - Sans Prix - V1 - H1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,1586.13,28,1458.96
20/04/26 - Image - Young Dynamic - SPORT - RUNNING - #HORIZON - Multi Variantes - KV SS26 - Portés Mixte - Avec Prix - V1,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,1565.79,118,7196.72
Carrousel DAd - Young Dynamic - SUN - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,1539.48,50,5180
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,1459.53,76,4020.15
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,1435.78,81,3876.02
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,1424.2,45,3694.49
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,1409.42,56,4213.71
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,1407.87,31,1647.03
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,1368.98,99,5110.42
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #ROAD - Glossy Havane -  Unboxing - Sans Prix - V1 - H1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,1297.12,30,3219.45
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,1286.05,24,1833.52
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,1276.78,64,3349.56
07/07/26 - Motion - All targets - SUN - PERMANENT - Multi Modèles - Multi Variantes - Promo - 2 Paires achetées = 1 offerte - Sans Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,1257.4,71,5352.52
21/04/26 - Video Brand - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Sans Prix - V1 - H1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,1252.23,25,1313.53
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,1247.54,54,3378.75
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Tortoise - Packshot MoMa - Avec Prix - V1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,1232.57,14,1058.12
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,1230.05,47,4058.54
07/07/26 - Motion - All targets - SUN - PERMANENT - Multi Modèles - Multi Variantes - Promo - 2 Paires achetées = 1 offerte - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,1229.96,70,5964.17
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,1197.32,88,4209.91
03/02/26 - Image - Partnership Ad - Young Dynamic - SPORT - RUNNING - #HORIZON - Sand - Kevin Rolland - Homme - Sans Prix - V1,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,1188.88,77,4147.02
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(HISTO)-US-(US)-PERF-RTG,1179.68,36,3150.43
Carrousel DAd - All Targets - MULTI GAMME - CROSSROADS - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,1178.43,34,2924.44
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,1165.82,17,1424.61
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #C - Tortoise - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,1159.5,67,5335.44
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Unboxing - Sans Prix - V2 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,1138.5,23,2182.35
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #D - Frozen Blue - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,1131.97,21,1668.9
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,1124.01,26,2091.98
08/07/26 - Video UGC - Partnership Ad - Young Dynamic - SUN - PERMANENT - #HORIZON - Mandylane - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,1115.75,105,7751.94
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,1103.72,46,3022.5
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,1079,55,3504.47
20/04/26 - Video UGC - Partnership Ad - Young Parent - KIDS - PERMANENT - Multi Modèles - Multi Variantes - Kids_tinywardrobe - Mixte - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-KIDS-INTER,1078.96,222,14297.48
10/07/26 - Image - Young Dynamic - SUN - #OFFICE - Golden Green - MoMa - Avec prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,1071.98,21,1670.16
08/07/26 - Video UGC - Partnership Ad - Young Dynamic - SUN - PERMANENT - #HORIZON - Mandylane - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,1058.31,29,2066.18
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #D - Frozen Blue - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,1047.26,35,1976.55
21/04/26 - Video Brand - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,1040,47,4039.71
01/07/26 - Video UGC - Young Dynamic - SUN - CROSSROADS - Multi Variantes - Multi Modèles - UGC in Store - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,1024.76,12,720.71
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Light Tortoise - Packshot MoMa - Avec Prix - V1,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,1019.1,19,1441.2
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,995.72,39,2292.36
21/05/26 - Carrousel - Young Dynamic - SPORT - PERMANENT - #FLASH - Multi Variantes - Packshot Face - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,987.86,25,2294.02
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,955.56,34,1974.95
02/07/26 - Video UGC - Partnership Ad - Young Dynamic - SUN - PERMANENT - Multi Modèles - Multi Variantes - Camilleth - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,941.82,33,1898.68
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #D - Kaki Green - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,911.62,35,3443.5
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-RTG,905.1,19,1438.05
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #OFFICE - Multi Variantes - UGC Emma Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,904.41,17,1318.86
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,903.85,37,1955.29
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Unboxing - Sans Prix - V2 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,901.2,24,1294.56
21/05/26 - Video UGC - Partnership Ad - Young Dynamic - SPORT - PERMANENT - #FLASH - Multi Variantes - Kevin Rolland - Homme - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,896.17,37,2516.98
20/04/26 - Video UGC - Partnership Ad - Young Parent - KIDS - PERMANENT - Multi Modèles - Multi Variantes - Kids_tinywardrobe - Mixte - Sans Prix - V1 - H1,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,896.13,36,2233.62
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,893.97,56,3069.61
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,889.03,9,566.11
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #ROAD - Glossy Havane -  Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,883.88,50,3146.45
13/03/26 - Image - Young Presbyte - READING - PERMANENT - #Office - Golden Green - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,880.58,12,727.53
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD-RECO,878.72,14,1289.99
18/12/25 - Image Collection - Young Presbyte - READING - PERMANENT - #D - Frozen Blue - Packshot MoMa - Avec Prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,855.3,29,2044.25
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-US-(US)-PERF-RTG,846.23,23,1495.09
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,844.11,43,4793.64
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,834.31,23,1893.9
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,832.39,33,1916.61
11/03/26 - Image - Young Dynamic - SUN - CROSSROADS - Road - Turquoise Stone - Packshot MoMa - Avec Prix - V1,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,808.08,31,1818.5
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,805.58,52,5273.51
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,805.56,28,2709.98
21/04/26 - Image - All targets - SUN - ESSENTIAL EDITION - #ECHO - Granit - Packshot Face USP fléchés - Sans Prix - V1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,787.72,55,3134.04
Carrousel DAd - All Targets - MULTI GAMME - PERMANENT - All Products - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,783.9,27,1380.32
05/05/26 - Video Social Friendly - All targets - SUN - ESSENTIAL EDITION - #ECHO - Multi Variantes - Unboxing - Sans Prix - V2 - H1,ASUC-(HISTO)-US-(US)-PERF-RTG,779.74,21,1773.8
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,776.06,26,1574.63
19/06/26 - Video UGC - Young Dynamic - SUN - ALEGRIA - Multi Variantes - Multi Modèles - UGC Nina in Store - Sans Prix - V1 - H1,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,765.6,25,1001.19
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #ROAD - Glossy Havane -  Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,763.95,26,1912.79
18/03/26 - Video Social Friendly - Young Parent - KIDS - BONPOINT - #ROAD - Glossy Havane -  Unboxing - Sans Prix - V1 - H1,ASUC-(HISTO)-US-(US)-PERF-RTG,759.19,22,1817.65
22/06/26 - Video UGC - Young Dynamic - SUN - PERMANENT - #ROAD - Multi Variantes - UGC Adele Le Super Cent - Sans Prix - V1 - H1,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,748.43,20,1734.43
Carrousel DAd - All Targets - MULTI GAMME - CROSSROADS - Multi Modèles - Flux Sans Habillage - Packshot Face - Sans Prix - V1,ASUC-(HISTO)-US-(US)-PERF-RTG,743.78,29,2909.44
14/04/26 - Image - All targets - SUN - PERMANENT - #D - Light Tortoise - Sun Polarises USP - Sans Prix - V1,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,742.36,22,1487.5
04/06/26 - Image - All targets - SUN - ALEGRIA - #LUZ - Pastry Dream - MoMa - Avec Prix - V1,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,717.22,11,516.99
